KEY,ENGLISH,JAPANESE,FRENCH
bangs,BANGS,バン,bangs
flags,FLAGS,フラグ,flags
switches,SWITCHES,スイッチ,switches
curves,CURVES,カーブ,courbes
colors,COLORS,カラー,couleurs
audio,AUDIO,オーディオ,audio
lfo,LFO,LFO,lfo
bins,bins,bins,bins
new project...,new project...,新規プロジェクト,nouveau projet
open project...,open project...,プロジェクトを開く,ouvrir projet
BPM,BPM,BPM,BPM
OSC IN,OSC IN,OSC受信,OSC IN
OSC OUT,OSC OUT,OSC送信,OSC OUT
ADD TRACK,ADD TRACK,トラック追加,AJOUTER PISTE
record,record,レコード,enregistrer
switch project,switch project,プロジェクトの切り替え,changer de projet
send osc,send osc,OSC送信,envoyer osc
sure?,sure?,ok？,ok ?
delete,delete,削除,supprimer
save,save,保存,save
play,play,再生,lecture
pause,pause,一時停止,pause
edit duration,edit duration,プロジェクトの長さ,Èditer la durÈe
current time,current time,再生位置の時間,temps
stop,stop,停止,stop
toggle loop,toggle loop,ループ,mode loop
snap to measures,snap to measures,スナップ,ajuster par mesure
set beats per minute,set beats per minute,BPM設定,ajuster bpm
enable incoming OSC,enable incoming OSC,OSC受信のON/OFF,Activer OSC entrant
incoming OSC port,incoming OSC port,OSC受信Port,port OSC entrant
enable outgoing OSC,enable outgoing OSC,OSC送信のON/OFF,Activer OSC sortant
remote IP,remote IP,送信先のIP,IP de destination
remote port,remote port,送信先のPort,port de destination
receive osc,receive osc,OSC受信,recevoir OSC
change palette,change palette,パレットの変更,changer la palette
select audio,select audio,オーディオを選択,Selectionner audio
Error creating new project. The folder could not be created.,Error creating new project. The folder could not be created.,新規プロジェクトを作成できませんでした。フォルダーを作成できません。,Erreur de crÈation de projet. Le rÈpertoire n'a pu etre crÈÈ.
Error creating new project. The folder already exists.,Error creating new project. The folder already exists.,新規プロジェクトを作成できませんでした。同名のフォルダーが既に存在しています。,Erreur de crÈation de projet. Le rÈpertoire existe dÈja.
